name,source,gender,wikidata,type
Anneliese-und-Georg-Groscurth-Platz,wikidata,+,Q109210;Q72640,way
Christstraße,wikidata,+,Q95104085;Q95103245,way
Fromet-und-Moses-Mendelssohn-Platz,wikidata,+,Q20980279;Q76997,way
Großfürstenplatz,wikidata,+,Q15189;Q57632,way
Margarete-und-Arthur-Eloesser-Park,wikidata,+,Q95696107;Q96583,way
"Neue Christstraße",wikidata,+,Q95104085;Q95103245,way
Pulsstraße,wikidata,+,Q94085097;Q94085102,way
"AEG-Siedlung Heimat",wikidata,-,Q158276,way
AEG-Straße,wikidata,-,Q158276,way
AVUS,wikidata,-,Q2338524,way
"Aachener Straße",wikidata,-,Q1017,way
Aalemannkanalbrücke,wikidata,-,Q300892,way
Aalemannufer,wikidata,-,Q300892,way
"Aalesunder Straße",wikidata,-,Q62266,way
Aalstieg,wikidata,-,Q26387,way
Aalweg,wikidata,-,Q26387,way
"Aarauer Straße",wikidata,-,Q14274,way
"Aarberger Straße",wikidata,-,Q64113,way
Abendrotweg,wikidata,-,Q1141780,way
Abendseglersteig,wikidata,-,Q319018,way
Abteibrücke,wikidata,-,Q256020,way
Abtweilerstraße,wikidata,-,Q334653,way
Achenseeweg,wikidata,-,Q615711,way
Achtermannstraße,wikidata,-,Q340960,way
Achtrutenberg,wikidata,-,Q1434274,way
Ackerplanweg,wikidata,-,Q1434274,way
Ackerstraße,wikidata,-,Q188869,way
"Adersleber Weg",wikidata,-,Q356438,way
Adlerbrücke,wikidata,-,Q2092297,way
Adlergestell,wikidata,-,Q2092297;Q334434;Q487843,way
"Adlershofer Straße",wikidata,-,Q599941,way
Adlersteg,wikidata,-,Q2092297,way
Adlerstraße,wikidata,-,Q2092297,way
Adlerweg,wikidata,-,Q2092297,way
Adolfstraße,wikidata,-,Q18145837,way
"Adorfer Straße",wikidata,-,Q46853,way
Advokatensteig,wikidata,-,Q380075,way
Aegirstraße,wikidata,-,Q204927,way
"Afrikanische Straße",wikidata,-,Q15,way
Agavensteig,wikidata,-,Q155874,way
"Ahlbecker Straße",wikidata,-,Q149899,way
Ahlbeerensteig,wikidata,-,Q146604,way
"Ahlener Weg",wikidata,-,Q1132,way
Ahornallee,wikidata,-,Q42292,way
Ahornsteig,wikidata,-,Q42292,way
Ahornstraße,wikidata,-,Q127849;Q42292,way
Ahornweg,wikidata,-,Q42292,way
"Ahrensdorfer Straße",wikidata,-,Q327744,way
"Ahrensfelder Chaussee",wikidata,-,Q366076,way
"Ahrenshooper Straße",wikidata,-,Q402819,way
"Ahrenshooper Zeile",wikidata,-,Q402819,way
Ährenweg,wikidata,-,Q147398,way
Ahrweilerstraße,wikidata,-,Q402921,way
"Aiblinger Weg",wikidata,-,Q5758,way
Aidastraße,wikidata,-,Q171277,way
Akazienallee,wikidata,-,Q5861969;Q81666,way
Akazienhof,wikidata,-,Q5861969,way
Akazienstraße,wikidata,-,Q5861969,way
Akazienweg,wikidata,-,Q5861969,way
Akeleiweg,wikidata,-,Q147641,way
Akkordeonweg,wikidata,-,Q79838,way
Aladinweg,wikidata,-,Q15605357,way
Alaskaweg,wikidata,-,Q797,way
Alberichstraße,wikidata,-,Q1257886,way
Albersweilerweg,wikidata,-,Q564724,way
Albestraße,wikidata,-,Q336889,way
"Albiger Weg",wikidata,-,Q567131,way
"Albrechts Teerofen",wikidata,-,Q4581557,way
"Albrechtshofer Weg",wikidata,-,Q641926,way
Albtalweg,wikidata,-,Q562295,way
Albulaweg,wikidata,-,Q685235,way
Alemannenallee,wikidata,-,Q132990,way
Alemannenstraße,wikidata,-,Q132990,way
"Alfelder Straße",wikidata,-,Q486543,way
Alfonsstraße,wikidata,-,Q18180801,way
Alfredstraße,wikidata,-,Q3480335,way
Alkenweg,wikidata,-,Q28294,way
"Allee der Kosmonauten",wikidata,-,Q11631,way
"Allée du Stade",wikidata,-,Q33083704,way
"Allendorfer Weg",wikidata,-,Q564821,way
Allerstraße,wikidata,-,Q1967803,way
Allerweg,wikidata,-,Q1967803,way
"Allgäuer Weg",wikidata,-,Q169276,way
Allmendeweg,wikidata,-,Q2259176,way
Almazeile,wikidata,-,Q656870,way
Almutstraße,wikidata,-,Q21400610,way
Almweg,wikidata,-,Q2082774,way
Aloisiusweg,wikidata,-,Q21142305,way
"Alpenberger Straße",wikidata,-,Q99735523,way
Alpenrose,wikidata,-,Q255516,way
Alpenrosenweg,wikidata,-,Q255516,way
"Alpnacher Weg",wikidata,-,Q69296,way
Alsenstraße,wikidata,-,Q165383,way
"Alsenzer Weg",wikidata,-,Q551751,way
"Alsheimer Straße",wikidata,-,Q629109,way
Alsterweg,wikidata,-,Q1219,way
Alt-Biesdorf,wikidata,-,Q432891,way
Alt-Blankenburg,wikidata,-,Q693582,way
Alt-Britz,wikidata,-,Q428846,way
Alt-Buch,wikidata,-,Q670751,way
Alt-Buckow,wikidata,-,Q644410,way
Alt-Friedrichsfelde,wikidata,-,Q563588,way
Alt-Gatow,wikidata,-,Q515832,way
Alt-Heiligensee,wikidata,-,Q513099,way
Alt-Hellersdorf,wikidata,-,Q821089,way
Alt-Hermsdorf,wikidata,-,Q565018,way
Alt-Karow,wikidata,-,Q700184,way
Alt-Kaulsdorf,wikidata,-,Q432948;Q665953,way
Alt-Kladow,wikidata,-,Q519632,way
Alt-Köpenick,wikidata,-,Q521521,way
Alt-Lankwitz,wikidata,-,Q671474,way
Alt-Lichtenrade,wikidata,-,Q821101,way
Alt-Lietzow,wikidata,-,Q180768,way
Alt-Lübars,wikidata,-,Q563664,way
Alt-Mahlsdorf,wikidata,-,Q563837,way
Alt-Mariendorf,wikidata,-,Q602159,way
Alt-Marienfelde,wikidata,-,Q695777,way
Alt-Marzahn,wikidata,-,Q702521,way
Alt-Moabit,wikidata,-,Q699800,way
Alt-Müggelheim,wikidata,-,Q644380,way
Alt-Pichelsdorf,wikidata,-,Q821111,way
Alt-Reinickendorf,wikidata,-,Q694034,way
Alt-Rudow,wikidata,-,Q614664,way
Alt-Schmöckwitz,wikidata,-,Q563573,way
Alt-Schönow,wikidata,-,Q870611,way
Alt-Stralau,wikidata,-,Q821148,way
Alt-Tegel,wikidata,-,Q700055,way
Alt-Tempelhof,wikidata,-,Q363830,way
Alt-Treptow,wikidata,-,Q702517,way
Alt-Wittenau,wikidata,-,Q18325304,way
"Altdammer Weg",wikidata,-,Q878458,way
"Altdorfer Straße",wikidata,-,Q68150,way
"Alte Allee",wikidata,-,Q207934,way
"Alte Fasanerie",wikidata,-,Q1397298,way
"Alte Hellersdorfer Straße",wikidata,-,Q821089,way
"Alte Jakobstraße",wikidata,-,Q1677404,way
"Alte Kaulsdorfer Straße",wikidata,-,Q665953,way
"Alte Leipziger Straße",wikidata,-,Q1298001,way
"Alte Potsdamer Straße",wikidata,-,Q1711,way
"Alte Schönhauser Straße",wikidata,-,Q512959,way
"Altenauer Weg",wikidata,-,Q436639,way
"Altenberger Weg",wikidata,-,Q436724,way
"Altenbraker Straße",wikidata,-,Q436806,way
"Altenburger Allee",wikidata,-,Q158151,way
"Altenburger Straße",wikidata,-,Q15976,way
"Altenescher Weg",wikidata,-,Q437036,way
"Altenhofer Straße",wikidata,-,Q437256,way
