name,source,gender,wikidata,type
"""Rattenweg""",,,,way
"1. Querweg",,,,way
"2. Querweg",,,,way
"2. Westtunnel",,,,way
23-Straße,,,,way
24-Straße,,,,way
25-Straße,,,,way
26-Straße,,,,way
27-Straße,,,,way
28-Straße,,,,way
29-Straße,,,,way
"3. Querweg",,,,way
30-Straße,,,,way
31-Straße,,,,way
32-Straße,,,,way
33-Straße,,,,way
"4. Steig",,,,way
A-Weg,,,,way
"A113 Autobahnzubringer Dresden",,,,way
"ASV Schläusenland e.V.",,,,way
"AVUS Nordkurve",,,,way
"Achse der Kontinuität",,,,way
"Achse des Exils",,,,way
"Achse des Holocaust",,,,way
Ackerhummelweg,,,,way
Adlerplatz,,,,way
Adolf-Kiepert-Steg,,,,way
Aktionspark,,,,way
Alerichstraße,,,,way
Alpenhöhe,,,,way
Alpenweg,,,,way
"Alte Poststraße",,,,way
"Alte Rhinstraße",,,,way
"Alte Spandauer Poststraße",,,,way
"Alter Fließweg",,,,way
"Alter Postweg",,,,way
"Alter Radelander Weg",,,,way
Alter-Robert-Park,,,,way
"Altglienicker Aue",,,,way
"Am Alten Lokschuppen",,,,way
"Am Amtsgraben",,,,way
"Am Ausblick",,,,way
"Am Barnim",,,,way
"Am Beelitzhof",,,,way
"Am Berghang",,,,way
"Am Biberbau",,,,way
"Am Bogen",,,,way
"Am Bootshaus",,,,way
"Am Buchenberg",,,,way
"Am Dreieck",,,,way
"Am Ernst-Grube-Park",,,,way
"Am Festplatz",,,,way
"Am Fischtal",,,,way
"Am Graben",,,,way
"Am Grüngürtel",,,,way
"Am Hamburger Bahnhof",,,,way
"Am Heidekampgraben",,,,way
"Am Hellespont",,,,way
"Am Kanal",,,,way
"Am Kienhorstgraben",,,,way
"Am Kiesberg",,,,way
"Am Kirchenland",,,,way
"Am Kirschgarten",,,,way
"Am Kleinen Platz",,,,way
"Am Krähenberg",,,,way
"Am Krug",,,,way
"Am Krummen Weg",,,,way
"Am Krusenick",,,,way
"Am Kurzen Weg",,,,way
"Am Kutscherhaus",,,,way
"Am Langen Weg",,,,way
"Am Müggelpark",,,,way
"Am Mühlanger",,,,way
"Am Mühlenberg",,,,way
"Am Mühlenteich",,,,way
"Am Nordbahnhof",,,,way
"Am Orangeriepark",,,,way
"Am Ortsrand",,,,way
"Am Pankepark",,,,way
"Am Pfarracker",,,,way
"Am Posseberg",,,,way
"Am Rathauspark",,,,way
"Am Reiherhorst",,,,way
